Score,Tanks,Truck Heads,Tank Capacity,Tank Duration,Travel Time,Fill Time,Safety Window,Deliveries,Dispatches,Returns,Downtime,Safety Violations,Average Tank Wait,Average Cycle Time,Average Delivery Time,Average Empty Tank Wait
73.15,4,3,520,480,105,120,60,100,102,100,0,0,216.02941176470588,1673.55,1065.6,168.75
72.93,4,3,520,480,105,90,60,100,102,100,0,0,223.97058823529412,1672.65,1072.5,183.45
72.88,4,3,520,480,90,120,60,100,102,100,0,0,235.58823529411765,1672.5,1053.0,176.1
72.64,4,3,520,480,90,90,60,100,102,100,0,0,244.7058823529412,1671.6,1058.7,190.8
72.61,4,3,520,480,75,120,60,100,102,100,0,0,255.14705882352942,1671.45,1040.4,183.45
72.51,4,3,520,480,105,120,30,93,96,93,0,0,288.125,1793.5483870967741,1116.6129032258063,161.29032258064515
72.36,4,3,520,480,75,90,60,100,102,100,0,0,294.55882352941177,1670.55,1044.0,169.35
72.23,4,3,520,480,90,120,30,93,96,93,0,0,308.125,1792.5806451612902,1103.225806451613,168.70967741935485
72.19,4,3,520,480,105,90,30,93,96,93,0,0,304.6875,1792.9032258064517,1114.6774193548388,176.1290322580645
71.94,4,3,520,480,75,120,30,93,96,93,0,0,330.0,1791.6129032258063,1088.225806451613,176.1290322580645
71.92,4,3,520,480,90,90,30,93,96,93,0,0,324.6875,1791.9354838709678,1101.2903225806451,183.5483870967742
71.54,5,2,520,480,105,120,30,91,94,92,0,0,411.70212765957444,2244.2934782608695,1176.098901098901,434.67391304347825
71.4,4,3,520,480,75,90,30,93,96,93,0,0,369.0625,1790.967741935484,1063.0645161290322,190.96774193548387
71.24,5,2,520,480,90,120,30,91,94,92,0,0,438.1914893617021,2242.8260869565215,1161.098901098901,437.60869565217394
71.21,5,2,520,480,105,90,30,91,94,92,0,0,435.3191489361702,2242.9891304347825,1172.4725274725274,444.1304347826087
70.95,5,2,520,480,75,120,30,91,94,92,0,0,464.6808510638298,2241.358695652174,1146.098901098901,440.54347826086956
70.93,5,3,520,480,105,90,60,99,102,100,0,0,223.97058823529412,2079.45,1489.8484848484848,183.45
70.91,5,2,520,480,90,90,30,91,94,92,0,0,461.8085106382979,2241.521739130435,1157.4725274725274,447.0652173913044
70.91,5,3,520,480,105,120,60,99,102,100,0,0,240.73529411764707,2080.65,1457.121212121212,168.75
70.64,5,3,520,480,90,90,60,99,102,100,0,0,244.7058823529412,2078.1,1476.060606060606,190.8
70.62,5,3,520,480,90,120,60,99,102,100,0,0,261.47058823529414,2079.3,1443.3333333333333,176.1
70.51,5,3,520,480,105,120,30,92,96,93,0,0,288.125,2228.2258064516127,1567.5,161.29032258064515
70.36,5,3,520,480,75,90,60,99,102,100,0,0,294.55882352941177,2076.75,1464.6969696969697,169.35
70.34,5,3,520,480,75,120,60,99,102,100,0,0,282.20588235294116,2077.95,1429.5454545454545,183.45
70.23,5,3,520,480,90,120,30,92,96,93,0,0,308.125,2227.0967741935483,1554.1304347826087,168.70967741935485
70.19,5,3,520,480,105,90,30,92,96,93,0,0,304.6875,2227.5806451612902,1565.5434782608695,176.1290322580645
69.94,5,3,520,480,75,120,30,92,96,93,0,0,330.0,2225.967741935484,1539.1304347826087,176.1290322580645
69.92,5,3,520,480,90,90,30,92,96,93,0,0,324.6875,2226.451612903226,1552.1739130434783,183.5483870967742
69.54,6,2,520,480,105,120,30,90,94,92,0,0,411.70212765957444,2673.75,1627.6666666666667,434.67391304347825
69.4,5,3,520,480,75,90,30,92,96,93,0,0,369.0625,2225.3225806451615,1513.695652173913,190.96774193548387
69.24,6,2,520,480,90,120,30,90,94,92,0,0,438.1914893617021,2671.9565217391305,1612.6666666666667,437.60869565217394
69.21,6,2,520,480,105,90,30,90,94,92,0,0,435.3191489361702,2672.1195652173915,1624.0,444.1304347826087
68.95,6,2,520,480,75,120,30,90,94,92,0,0,464.6808510638298,2670.163043478261,1597.6666666666667,440.54347826086956
68.93,6,3,520,480,105,90,60,98,102,100,0,0,223.97058823529412,2483.7,1901.938775510204,183.45
68.91,6,2,520,480,90,90,30,90,94,92,0,0,461.8085106382979,2670.3260869565215,1609.0,447.0652173913044
68.91,6,3,520,480,105,120,60,98,102,100,0,0,240.73529411764707,2484.9,1868.8775510204082,168.75
68.64,6,3,520,480,90,90,60,98,102,100,0,0,244.7058823529412,2482.2,1888.1632653061224,190.8
68.62,6,3,520,480,90,120,60,98,102,100,0,0,261.47058823529414,2483.4,1855.1020408163265,176.1
68.51,6,3,520,480,105,120,30,91,96,93,0,0,288.125,2662.9032258064517,2008.5164835164835,161.29032258064515
68.36,6,3,520,480,75,90,60,98,102,100,0,0,294.55882352941177,2480.7,1876.8367346938776,169.35
68.34,6,3,520,480,75,120,60,98,102,100,0,0,282.20588235294116,2481.9,1841.3265306122448,183.45
68.23,6,3,520,480,90,120,30,91,96,93,0,0,308.125,2661.6129032258063,1995.1648351648353,168.70967741935485
68.19,6,3,520,480,105,90,30,91,96,93,0,0,304.6875,2662.2580645161293,2006.5384615384614,176.1290322580645
68.17,4,4,520,480,105,120,60,101,103,100,0,0,213.93203883495147,1673.55,1065.0,168.75
67.95,4,4,520,480,105,90,60,101,103,100,0,0,221.79611650485438,1672.65,1071.8316831683169,183.45
67.94,6,3,520,480,75,120,30,91,96,93,0,0,330.0,2660.3225806451615,1980.1648351648353,176.1290322580645
67.92,6,3,520,480,90,90,30,91,96,93,0,0,324.6875,2660.967741935484,1993.1868131868132,183.5483870967742
67.91,4,4,520,480,90,120,60,101,103,100,0,0,233.3009708737864,1672.5,1052.3762376237623,176.1
67.67,4,4,520,480,90,90,60,101,103,100,0,0,242.33009708737865,1671.6,1058.019801980198,190.8
67.64,4,4,520,480,75,120,60,101,103,100,0,0,252.66990291262135,1671.45,1039.7524752475247,183.45
67.54,4,4,520,480,105,120,30,94,97,93,0,0,285.1546391752577,1793.5483870967741,1115.7446808510638,161.29032258064515
67.4,6,3,520,480,75,90,30,91,96,93,0,0,369.0625,2659.6774193548385,1954.4505494505495,190.96774193548387
67.39,4,4,520,480,75,90,60,101,103,100,0,0,291.6990291262136,1670.55,1043.3168316831684,169.35
67.29,6,2,520,480,75,90,30,90,93,93,0,0,589.516129032258,2696.1290322580644,1470.0,481.1290322580645
67.26,4,4,520,480,90,120,30,94,97,93,0,0,304.9484536082474,1792.5806451612902,1102.340425531915,168.70967741935485
