Time,Day,Event,Truck,Tank,Truck State,Tank State,Truck Location,Tank Location
0,1,TANK_FILL_STARTED,,1,,FILLING,,POINT_A
0,1,TANK_FILL_STARTED,,2,,FILLING,,POINT_A
0,1,TANK_FILL_STARTED,,3,,FILLING,,POINT_A
0,1,TANK_FILL_STARTED,,4,,FILLING,,POINT_A
0,1,TANK_FILL_STARTED,,5,,FILLING,,POINT_A
0,1,TANK_FILL_STARTED,,6,,FILLING,,POINT_A
120,1,TANK_FILL_COMPLETED,,1,,READY_AT_A,,POINT_A
120,1,TANK_FILL_COMPLETED,,2,,READY_AT_A,,POINT_A
120,1,TANK_FILL_COMPLETED,,3,,READY_AT_A,,POINT_A
120,1,TANK_FILL_COMPLETED,,4,,READY_AT_A,,POINT_A
120,1,TANK_FILL_COMPLETED,,5,,READY_AT_A,,POINT_A
120,1,TANK_FILL_COMPLETED,,6,,READY_AT_A,,POINT_A
120,1,TRUCK_DEPARTED,1,1,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
120,1,TRUCK_DEPARTED,2,2,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
120,1,TRUCK_DEPARTED,3,3,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
120,1,TRUCK_DEPARTED,4,4,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
120,1,TRUCK_DEPARTED,5,5,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
225,1,TRUCK_ARRIVED,1,1,IDLE_AT_C,SUPPLYING,POINT_C,POINT_C
225,1,TRUCK_ARRIVED,2,2,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
225,1,TRUCK_ARRIVED,3,3,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
225,1,TRUCK_ARRIVED,4,4,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
225,1,TRUCK_ARRIVED,5,5,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
645,1,SUPPLY_STARTED,,6,,SUPPLYING,,POINT_C
705,1,TANK_EMPTY,,1,,EMPTY_AT_C,,POINT_C
705,1,TRUCK_RETURN_DEPARTED,1,1,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
810,1,TRUCK_RETURN_ARRIVED,1,1,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
810,1,TANK_FILL_STARTED,,1,,FILLING,,POINT_A
930,1,TANK_FILL_COMPLETED,,1,,READY_AT_A,,POINT_A
1065,1,SUPPLY_STARTED,,2,,SUPPLYING,,POINT_C
1125,2,TANK_EMPTY,,6,,EMPTY_AT_C,,POINT_C
1440,2,WORKDAY_STARTED,,,,,,
1440,2,TRUCK_DEPARTED,1,1,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
1440,2,TRUCK_RETURN_DEPARTED,2,6,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
1485,2,SUPPLY_STARTED,,3,,SUPPLYING,,POINT_C
1545,2,TANK_EMPTY,,2,,EMPTY_AT_C,,POINT_C
1545,2,TRUCK_ARRIVED,1,1,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
1545,2,TRUCK_RETURN_ARRIVED,2,6,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
1545,2,TRUCK_RETURN_DEPARTED,3,2,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
1545,2,TANK_FILL_STARTED,,6,,FILLING,,POINT_A
1650,2,TRUCK_RETURN_ARRIVED,3,2,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
1650,2,TANK_FILL_STARTED,,2,,FILLING,,POINT_A
1665,2,TANK_FILL_COMPLETED,,6,,READY_AT_A,,POINT_A
1770,2,TANK_FILL_COMPLETED,,2,,READY_AT_A,,POINT_A
1800,2,DISPATCH_READY,,,,,,
1800,2,TRUCK_DEPARTED,2,6,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
1800,2,TRUCK_DEPARTED,3,2,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
1905,2,SUPPLY_STARTED,,4,,SUPPLYING,,POINT_C
1905,2,TRUCK_ARRIVED,2,6,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
1905,2,TRUCK_ARRIVED,3,2,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
1965,2,TANK_EMPTY,,3,,EMPTY_AT_C,,POINT_C
1965,2,TRUCK_RETURN_DEPARTED,4,3,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
2070,2,TRUCK_RETURN_ARRIVED,4,3,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
2070,2,TANK_FILL_STARTED,,3,,FILLING,,POINT_A
2190,2,TANK_FILL_COMPLETED,,3,,READY_AT_A,,POINT_A
2325,2,SUPPLY_STARTED,,5,,SUPPLYING,,POINT_C
2385,2,TANK_EMPTY,,4,,EMPTY_AT_C,,POINT_C
2745,3,SUPPLY_STARTED,,1,,SUPPLYING,,POINT_C
2805,3,TANK_EMPTY,,5,,EMPTY_AT_C,,POINT_C
2880,3,WORKDAY_STARTED,,,,,,
2880,3,TRUCK_RETURN_DEPARTED,5,4,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
2880,3,TRUCK_RETURN_DEPARTED,1,5,DRIVING_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A,IN_TRANSIT_TO_A
2985,3,TRUCK_RETURN_ARRIVED,5,4,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
2985,3,TRUCK_RETURN_ARRIVED,1,5,IDLE_AT_A,EMPTY_AT_A,POINT_A,POINT_A
2985,3,TANK_FILL_STARTED,,4,,FILLING,,POINT_A
2985,3,TANK_FILL_STARTED,,5,,FILLING,,POINT_A
3060,3,DISPATCH_READY,,,,,,
3060,3,TRUCK_DEPARTED,4,3,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
3105,3,TANK_FILL_COMPLETED,,4,,READY_AT_A,,POINT_A
3105,3,TANK_FILL_COMPLETED,,5,,READY_AT_A,,POINT_A
3105,3,TRUCK_DEPARTED,5,4,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
3105,3,TRUCK_DEPARTED,1,5,DRIVING_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C,IN_TRANSIT_TO_C
3165,3,SUPPLY_STARTED,,6,,SUPPLYING,,POINT_C
3165,3,TRUCK_ARRIVED,4,3,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
3210,3,TRUCK_ARRIVED,5,4,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
3210,3,TRUCK_ARRIVED,1,5,IDLE_AT_C,WAITING_AT_C,POINT_C,POINT_C
