Time,Day,Event,Truck 1,Truck 2,Tank 1,Tank 2,Tank 3,Tank 4,Active Supply Tank,Waiting Tanks At C,Available Trucks At A,Available Trucks At C
0,1,TANK_FILL_STARTED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,FILLING|POINT_A|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,,,"1,2",
0,1,TANK_FILL_STARTED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,,,"1,2",
0,1,TANK_FILL_STARTED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,EMPTY_AT_A|POINT_A|Truck:-,,,"1,2",
0,1,TANK_FILL_STARTED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,,,"1,2",
120,1,TANK_FILL_COMPLETED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,READY_AT_A|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,,,2,
120,1,TANK_FILL_COMPLETED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,,,,
120,1,TANK_FILL_COMPLETED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,FILLING|POINT_A|Truck:-,,,,
120,1,TANK_FILL_COMPLETED,IDLE_AT_A|POINT_A|Tank:-,IDLE_AT_A|POINT_A|Tank:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,,,,
120,1,TRUCK_DEPARTED,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:1,IDLE_AT_A|POINT_A|Tank:-,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:1,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,,,,
120,1,TRUCK_DEPARTED,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:1,DRIVING_TO_C|IN_TRANSIT_TO_C|Tank:2,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:1,IN_TRANSIT_TO_C|IN_TRANSIT_TO_C|Truck:2,READY_AT_A|POINT_A|Truck:-,READY_AT_A|POINT_A|Truck:-,,,,
